speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
AWPE,42,1250,American White Pelican,Pélican d'Amérique,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,723,NULL,NULL,A,24:58.3
BABU_UNI,2,5077,Northern Oriole (Bullock's/Baltimore),Oriole du Nord (de Bullock/de Baltimore),Icterus sp.,Icterus sp.,1916.999,NULL,NULL,A,24:58.4
BADO,40,3680,Barred Owl,Chouette rayée,Strix varia,Strix varia,859,NULL,NULL,A,24:58.6
BAEA,22,3520,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,Haliaeetus leucocephalus,781,NULL,NULL,A,24:58.7
BAGO,14,1520,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Bucephala islandica,73,NULL,NULL,A,24:58.8
BAIS,49,5450,Baird's Sparrow,Bruant de Baird,Ammodramus bairdii,Ammodramus bairdii,1843,NULL,NULL,A,24:59.0
BANO,1,3650,Barn Owl,Effraie des clochers,Tyto alba,Tyto alba,827,NULL,NULL,A,24:59.1
BANS,53,6160,Bank Swallow,Hirondelle de rivage,Riparia riparia,Riparia riparia,1428,NULL,NULL,A,24:59.2
BAOR,2,5070,Baltimore Oriole,Oriole de Baltimore,Icterus galbula,Icterus galbula,1921,NULL,NULL,A,24:59.4
BARS,53,6130,Barn Swallow,Hirondelle rustique,Hirundo rustica,Hirundo rustica,1431,NULL,NULL,A,24:59.5
BASA,47,2410,Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,Calidris bairdii,499,NULL,NULL,A,24:59.6
BAWW,58,6360,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,Mniotilta varia,1953,NULL,NULL,A,24:59.7
BBCU,11,3880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Coccyzus erythropthalmus,208,NULL,NULL,A,24:59.9
BBMA,27,4750,Black-billed Magpie,Pie d'Amérique,Pica hudsonia,Pica hudsonia,1389,NULL,NULL,A,25:00.0
BBOH,2,5078,Bullock's/Baltimore Oriole hybrid,Hybride d'Oriole de Bullock et d'Oriole de Baltimore,Icterus bullockii x galbula,Icterus bullockii x galbula,1915.555,NULL,NULL,A,25:00.1
BBPL,44,2700,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,Pluvialis squatarola,449,NULL,NULL,A,25:00.3
BBSA,47,2620,Buff-breasted Sandpiper,Bécasseau roussâtre,Tryngites subruficollis,Tryngites subruficollis,503,NULL,NULL,A,25:00.4
BBWA,58,6600,Bay-breasted Warbler,Paruline à poitrine baie,Setophaga castanea,Setophaga castanea,1990,NULL,NULL,A,25:00.6
BBWO,60,4000,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,Picoides arcticus,968,NULL,NULL,A,25:00.7
BCCH,7,7350,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,Poecile atricapillus,1434,NULL,NULL,A,25:00.8
BCHU,24,4290,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Archilochus alexandri,332,NULL,NULL,A,25:00.9
BCNH,23,2020,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Nycticorax nycticorax,753,NULL,NULL,A,25:01.1
BEKI,28,3900,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,Megaceryle alcyon,906,NULL,NULL,A,25:01.2
BEWR,61,7190,Bewick's Wren,Troglodyte de Bewick,Thryomanes bewickii,Thryomanes bewickii,1470,NULL,NULL,A,25:01.4
BGGN,18,7510,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,Polioptila caerulea,1504,NULL,NULL,A,25:01.5
BHCO,2,4950,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,Molothrus ater,1932,NULL,NULL,A,25:01.6
BHGR,5,5960,Black-headed Grosbeak,Cardinal à tête noire,Pheucticus melanocephalus,Pheucticus melanocephalus,2052,NULL,NULL,A,25:01.8
BHGU,21,551,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Chroicocephalus ridibundus,571,NULL,NULL,A,25:01.9
BHVI,57,6290,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,Vireo solitarius,1353,NULL,NULL,A,25:02.0
BITH,55,7571,Bicknell's Thrush,Grive de Bicknell,Catharus bicknelli,Catharus bicknelli,1580,NULL,NULL,A,25:02.1
BLBR,14,1740,Black Brant,Bernache noire,Branta bernicla nigricans,Branta bernicla nigricans,20.1,NULL,NULL,A,25:02.3
BLBW,58,6620,Blackburnian Warbler,Paruline à gorge orangée,Setophaga fusca,Setophaga fusca,1991,NULL,NULL,A,25:02.4
BLGS,20,2973,Blue Grouse (Dusky/Sooty),Tétras sombre (sombre/fuligineux) ,Dendragapus sp,Dendragapus sp,132.999,NULL,NULL,A,25:02.5
BLGU,33,270,Black Guillemot,Guillemot à miroir,Cepphus grylle,Cepphus grylle,546,NULL,NULL,A,25:02.7
BLJA,27,4770,Blue Jay,Geai bleu,Cyanocitta cristata,Cyanocitta cristata,1380,NULL,NULL,A,25:02.8
BLKI,21,400,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Rissa tridactyla,565,NULL,NULL,A,25:02.9
BLOY,41,2870,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,Haematopus bachmani,446,NULL,NULL,A,25:03.1
BLPW,58,6610,Blackpoll Warbler,Paruline rayée,Setophaga striata,Setophaga striata,1994,NULL,NULL,A,25:03.2
BLSC,14,1630,Black Scoter,Macreuse à bec jaune,Melanitta americana,Melanitta americana,69,NULL,NULL,A,25:03.3
BLSW,54,4220,Black Swift,Martinet sombre,Cypseloides niger,Cypseloides niger,252,NULL,NULL,A,25:03.4
BLTE,21,770,Black Tern,Guifette noire,Chlidonias niger,Chlidonias niger,609,NULL,NULL,A,25:03.6
BLUE,37,7640,Bluethroat,Gorgebleue à miroir,Luscinia svecica,Luscinia svecica,1546,NULL,NULL,A,25:03.7
BNST,51,2260,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,Himantopus mexicanus,442,NULL,NULL,A,25:03.9
BOBO,2,4940,Bobolink,Goglu des prés,Dolichonyx oryzivorus,Dolichonyx oryzivorus,1886,NULL,NULL,A,25:04.0
BOCH,7,7400,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,Poecile hudsonicus,1438,NULL,NULL,A,25:04.1
BOGU,21,600,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Chroicocephalus philadelphia,569,NULL,NULL,A,25:04.3
BOOW,40,3710,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Aegolius funereus,867,NULL,NULL,A,25:04.4
BOWA,59,6180,Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,Bombycilla garrulus,1636,NULL,NULL,A,25:04.5
BRAN,14,1730,Brant,Bernache cravant,Branta bernicla,Branta bernicla,20,NULL,NULL,A,25:04.6
BRBL,2,5100,Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,Euphagus cyanocephalus,1937,NULL,NULL,A,25:04.8
BRCR,10,7260,Brown Creeper,Grimpereau brun,Certhia americana,Certhia americana,1451,NULL,NULL,A,25:04.9
BRSP,49,5620,Brewer's Sparrow,Bruant de Brewer,Spizella breweri,Spizella breweri,1830,NULL,NULL,A,25:05.1
BRTH,6,7050,Brown Thrasher,Moqueur roux,Toxostoma rufum,Toxostoma rufum,1620,NULL,NULL,A,25:05.2
BRWA,58,6412,Blue-winged/Golden-winged Warbler hybrid Brewster's form,Paruline de Brewster,"Vermivora cyanoptera x chrysoptera ""leucobronchialis""","Vermivora cyanoptera x chrysoptera ""leucobronchialis""",1951.5551,NULL,NULL,A,25:05.3
BTBW,58,6540,Black-throated Blue Warbler,Paruline bleue,Setophaga caerulescens,Setophaga caerulescens,1995,NULL,NULL,A,25:05.4
BTNW,58,6670,Black-throated Green Warbler,Paruline à gorge noire,Setophaga virens,Setophaga virens,2012,NULL,NULL,A,25:05.6
BTPI,13,3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Patagioenas fasciata,155,NULL,NULL,A,25:05.7
BTYW,58,6650,Black-throated Gray Warbler,Paruline grise,Setophaga nigrescens,Setophaga nigrescens,2008,NULL,NULL,A,25:05.8
BUFF,14,1530,Bufflehead,Petit Garrot,Bucephala albeola,Bucephala albeola,71,NULL,NULL,A,25:06.0
BUOR,2,5080,Bullock's Oriole,Oriole de Bullock,Icterus bullockii,Icterus bullockii,1915,NULL,NULL,A,25:06.1
BUOW,40,3780,Burrowing Owl,Chevêche des terriers,Athene cunicularia,Athene cunicularia,855,NULL,NULL,A,25:06.2
BUSH,4,7430,Bushtit,Mésange buissonnière,Psaltriparus minimus,Psaltriparus minimus,1446,NULL,NULL,A,25:06.4
BWHA,22,3430,Broad-winged Hawk,Petite Buse,Buteo platypterus,Buteo platypterus,813,NULL,NULL,A,25:06.5
BWTE,14,1400,Blue-winged Teal,Sarcelle à ailes bleues,Anas discors,Anas discors,37,NULL,NULL,A,25:06.6
BWWA,58,6410,Blue-winged Warbler,Paruline à ailes bleues,Vermivora cyanoptera,Vermivora cyanoptera,1952,NULL,NULL,A,25:06.8
CAAU,33,160,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,Ptychoramphus aleuticus,555,NULL,NULL,A,25:06.9
CACG,14,1725,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,Branta hutchinsii,22,NULL,NULL,A,25:07.0
CAEG,23,2001,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Bubulcus ibis,747,NULL,NULL,A,25:07.2
CAFI,16,5180,Cassin's Finch,Roselin de Cassin,Haemorhous cassinii,Haemorhous cassinii,1750,NULL,NULL,A,25:07.3
CAGU,21,530,California Gull,Goéland de Californie,Larus californicus,Larus californicus,584,NULL,NULL,A,25:07.4
CAHU,24,4360,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Selasphorus calliope,345,NULL,NULL,A,25:07.5
CANG,14,1720,Canada Goose,Bernache du Canada,Branta canadensis,Branta canadensis,23,NULL,NULL,A,25:07.7
CANV,14,1470,Canvasback,Fuligule à dos blanc,Aythya valisineria,Aythya valisineria,53,NULL,NULL,A,25:07.8
